date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
0.0,Wales,England,1,7,British Championship,Wrexham,Wales,False
0.0,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
0.0,Scotland,England,1,1,British Championship,Glasgow,Scotland,False
0.0,Hungary,Czechoslovakia,5,2,Friendly,Budapest,Hungary,False
0.0,Switzerland,Germany,5,3,Friendly,Basel,Switzerland,False
0.0,Wales,Northern Ireland,0,1,British Championship,Aberdare,Wales,False
0.0,France,Belgium,1,2,Friendly,Colombes,France,False
0.0,Netherlands,Belgium,3,1,Friendly,Rotterdam,Netherlands,False
0.0,Austria,Hungary,4,0,Friendly,Vienna,Austria,False
0.0,Netherlands,France,4,1,Friendly,Rotterdam,Netherlands,False
0.0,Austria,England,1,6,Friendly,Vienna,Austria,False
0.0,Austria,Germany,3,2,Friendly,Vienna,Austria,False
0.0,Austria,England,1,11,Friendly,Vienna,Austria,False
0.0,Hungary,England,0,7,Friendly,Budapest,Hungary,False
0.0,Czechoslovakia,England,0,4,Friendly,Prague,Bohemia,False
0.0,Sweden,Norway,11,3,Friendly,Gothenburg,Sweden,False
0.0,Uruguay,Argentina,2,2,Copa Lipton,Montevideo,Uruguay,False
0.0,Argentina,Uruguay,2,1,Copa Newton,Buenos Aires,Argentina,False
0.0,Argentina,Uruguay,0,1,Copa Premio Honor Argentino,Buenos Aires,Argentina,False
0.0,Netherlands,Sweden,5,3,Friendly,The Hague,Netherlands,False
0.0,Belgium,Sweden,2,1,Friendly,Brussels,Belgium,False
0.0,Hungary,Austria,5,3,Friendly,Budapest,Hungary,False
0.0,England,Northern Ireland,4,0,British Championship,Bradford,England,False
0.0,Wales,Scotland,3,2,British Championship,Wrexham,Wales,False
0.0,England,Wales,2,0,British Championship,Nottingham,England,False
0.0,Scotland,Northern Ireland,5,0,British Championship,Glasgow,Scotland,False
0.0,Northern Ireland,Wales,2,3,British Championship,Belfast,Republic of Ireland,False
0.0,Belgium,Netherlands,1,4,Friendly,Antwerp,Belgium,False
0.0,England,Scotland,2,0,British Championship,London,England,False
